ID,name,data_collection,publication_date,objective,nb_instances,features,nb_features,data_link,availability,subject_area,data_source,data_representativeness,sample_balance,divided,missing_values,temporal_factors,nb_citations,citation_link,task,metadata,documentation,learning_indicators,informed_consent,transparency,user_control,equity_non_discrimination,security,dealing_faulty_data,anonymization,keeping_record,minimal_data_collection,data_lifecycle_management,,
63,SDD3,2019-2020,2023,"Understanding of the engagement and emotional behaviour
(sentiment and stress)","4553 + 4258
","1.Number of posts, post length, active days, posting ratio
2.Sentiment polarity",7,"https://www.adelaide.edu.au/learning/adelaidex/researchers
",Private,Education,"MOOC logs
(edX platform)",Structured,False,False,False,False,2,"https://www.sciencedirect.com/science/article/pii/S2666920X22000716
","Classification

",False,True,"1.Behavioral engagement
2.Emotional engagement
",False,False,False,False,False,False,False,False,False,False,,
64,SDD4,2020-2021,2023,"Early prediction of student
performance
",2140 students,"1.Nb of course clicks, resource views,assessments' views and submissions,  total time online
2.forum clicks, posts
3.Grades
",31,,Private,Education,LMS logs,Structured,False,False,False,False,60,"https://www.sciencedirect.com/science/article/pii/S0360131520303067
","Classification
Clustering
",False,True,"1.Behavioral engagement
2.Social engagement
3.Performance",False,False,False,False,False,False,True,False,False,False,,
67,SDD7,2016-2018,2023,"Dropout prediction
","24,000 students","1.Nbr of exercises done per week, start time, completion time, 
2.Subscription data",,,Private,Education,MOOC logs,Structured,False,False,False,False,0,"https://www.sciencedirect.com/science/article/pii/S0040162523006947
",Clustering,False,True,"1.Behavioral engagement

",False,False,False,False,False,False,True,False,False,False,,
74,SDD14,2016-2018,2023,E portfolio Creation,,"1.Frequency of access, time spent on tasks",,,Private,Education,LMS logs + interviews,Structured,False,False,False,False,10,"https://www.sciencedirect.com/science/article/abs/pii/S0747563222002710
",,False,False,1.Behavioral engagement,False,False,False,False,False,False,False,False,False,False,,
78,SDD18,"Coco dataset 
+ OULAD",2023,Final Grade prediction,"8524 students,
93 courses
1,235,063 log records
1342 assignements,
28,270 submissions"," demographic
 data, log data, enrollment data, assignement data, submission data",,,Private,Education,Moodle data,Structured,False,False,False,False,19,https://www.sciencedirect.com/science/article/pii/S0957417422019108,"Classification
clustering",False,True,Performance,False,False,False,False,False,False,True,False,False,False,,
80,SDD20,2020-2021,2023,"Identifying the role of motivation, perceived learning support, learning engagement and self regulated learning strategies",,"Demographic 
data",,,Private,Education,"MOOC logs +
Questionnaire",Semi-structured,False,False,False,False,42,"https://www.sciencedirect.com/science/article/pii/S1096751622000367
",,False,True,,True,False,False,True,False,False,True,False,False,False,,
81,SDD21,2021,2023,Students perception of the course,1) 128 students,"Grades, enrollement data","596 
",,Private,Education,Questionnaire,Semi-structured,False,False,False,False,8,"https://www.sciencedirect.com/science/article/pii/S1096751622000380
",,False,True,Performance,False,False,False,False,False,False,True,False,False,False,,
155,"ELIA 101-
1, and ELIA 101-2)",,2023,Predicting At-Risk Students’ Performance,4772,"1) Course Access
Avg Minutes
Course Interactions
Assignment Submission
Assessment Access
Content Access
Course Item Interactions
2)Grades",9,,Private,Education,LMS logs,Structured,True,True,False,False,0,"https://thesai.org/Publications/ViewPaper?Volume=14&Issue=6&Code=IJACSA&SerialNo
",,False,True,"1)Behavioral engagement
2)Performance",False,False,False,False,False,False,False,False,False,False,,
137,Springer 2,2019,2023,Academic Performance prediction,"1) 270
2) 38","Demographic data,
grades",,,Private,Education,,structured,False,False,False,False,2,"https://link.springer.com/chapter/10.1007/978-3-031-27762-7_19
",Classification,False,False,Performance,False,False,False,False,False,False,False,False,False,False,,
82,SDD22,2020,2023,Performance prediction,,,,,Private,Education,Questionnaire,Unstructured,False,False,False,False,7,"https://www.sciencedirect.com/science/article/pii/S1110016823001023
",Classification,False,True,Performance,False,False,False,True,False,False,False,False,False,False,,
87,SDD27,,2023,Performance prediction,325 instances,Grades,66,,Private,Education,Questionnaire,semi-structured,False,False,False,False,14,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9269278/
","Classification
Regression",False,True,Performance,True,False,False,True,False,False,False,False,False,False,,
91,SDD31,2018,2023,Support motivation and academic achievement,,"1) assignements,
historical data
2) gardes",,,Private,Education,LMS logs,Structured,False,False,False,False,10,"https://www.sciencedirect.com/science/article/pii/S2666557323000083
",Regression,False,True,"1) Behavioral engagement
2) Performance",True,False,False,False,False,False,True,False,False,False,,
125,,2013-2018,2023,"early student
dropout prediction","14,391 students and 62,545 feedback
documents
","1) Demographic data
2) Grades
4) textual feedback",,,Private,Education,"MOOC logs + 
Questionnaire",semi-structured,False,False,False,False,5,"https://www.sciencedirect.com/science/article/abs/pii/S0167923623000155
","Classification,
Clustering",False,True,"2)Performance
3) Behavioral engageent",False,False,False,False,False,False,False,False,False,False,,
127,,,2023,Behavioral intention to use e-learning,649,"Sociodemographic
 data",22,,Private,"Education,
 Health",Questionnaire,semi-structured,False,False,True,False,26,"https://www.sciencedirect.com/science/article/pii/S235291482200291X
",Classification,False,True,,True,True,False,True,False,False,True,False,False,False,,
130,,,2023,Detection and classification of anxiety in university students,"127 engineering
students","1) Demographic data
2)Causes and effects of anxiety
",40,,Private,Education,Questionnaire,unstructured,False,False,False,False,8,"https://www.sciencedirect.com/science/article/pii/S1877050923001321
",Classification,False,False,,False,False,False,False,False,False,False,False,False,False,,
131,,,2023,Predicting Students at Risk of Early Dropping Out,110,"1) Interactions, attempts
assignements
2)grades",22,,Private,Education,LMS logs,structured,False,False,True,False,0,"https://www.sciencedirect.com/science/article/pii/S1877050923014746
",Classification,False,True,"Begavioral engagement,
performance",False,False,False,False,False,False,False,False,False,False,,
132,SEA-UIS,2016-2019,2023,Early detection of students’ failure,3534 students.,"Academic ,Cognitive,
Economic,Health, Social features",5,,Private,Education,,structured,False,False,False,False,0,https://www.sciencedirect.com/science/article/pii/S2214716023000271,Classification,False,True,"Begavioral engagement, cognitive engagement
performance, social engagement",False,False,False,False,False,False,False,False,False,False,,
133,,2019,2023,Internet-based identification of anxiety,120 students.,Text and facial expressions,,,Private,Education,,,False,True,False,False,0,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10562914/
",Classification,False,False,Emotional engagement,True,False,False,False,False,False,True,False,False,False,,
